ALI,10263,"Alice, TX: Alice International",27.74083333,-98.02722222,TX
ALM,10266,"Alamogordo, NM: Alamogordo White Sands Regional",32.83972222,-105.99,NM
ALN,10267,"Alton, IL: St. Louis Regional",38.89166667,-90.04833333,IL
ALO,10268,"Waterloo, IA: Waterloo Regional",42.55611111,-92.39972222,IA
ALR,10271,"Alexandra, New Zealand: Alexandra Airport",-45.21388889,169.3694444,Ne
ALS,10272,"Alamosa, CO: San Luis Valley Regional/Bergman Field",37.43666667,-105.8666667,CO
ALW,10275,"Walla Walla, WA: Walla Walla Regional",46.09472222,-118.2911111,WA
ALX,10276,"Alexander City, AL: Thomas C. Russell Field",32.91666667,-85.96666667,AL
ALZ,10278,"Lazy Bay, AK: Alitak Seaplane Base",56.89583333,-154.2458333,AK
AMA,10279,"Amarillo, TX: Rick Husband Amarillo International",35.22722222,-101.7219444,TX
AMD,10280,"Ahmedabad, India: Ahmedabad International",23.06638889,72.62416667,In
AMF,10281,"Ama, Papua New Guinea: Ama Airport",-4.10166667,141.6697222,Pa
AMG,10282,"Amboin, Papua New Guinea: Amboin Airport",-4.6,143.5,Pa
AMI,10284,"Mataram, Indonesia: Selaparang",-8.56,116.0969444,In
AMK,10285,"Durango, CO: Animas Air Park",37.20388889,-107.8686111,CO
AML,10286,"Puerto Armuelles, Panama: Puerto Armuelles Airport",8.26555556,-82.86555556,Pa
AMN,10288,"Alma, MI: Gratiot Community",43.32083333,-84.68666667,MI
AMP,10290,"Ampanihy, Madagascar: Ampanihy Airport",-24.69944444,44.73305556,Ma
AMQ,10291,"Ambon, Indonesia: Pattimura",-3.71027778,128.0897222,In
AMS,10292,"Amsterdam, Netherlands: Schiphol",52.30833333,4.76805556,Ne
AMW,10294,"Ames, IA: Ames Municipal",41.99416667,-93.61833333,IA
AMY,10296,"Ambatomainty, Madagascar: Ambatomainty Airport",-17.68555556,45.62527778,Ma
ANA,10297,"Anaheim, CA: Anaheim-Disneyland HP",33.81666667,-117.9333333,CA
ANB,10298,"Anniston, AL: Anniston Regional",33.59027778,-85.85583333,AL
ANC,10299,"Anchorage, AK: Ted Stevens Anchorage International",61.16916667,-149.9852778,AK
AND,10300,"Anderson, SC: Anderson Regional",34.49361111,-82.71,SC
ANI,10304,"Aniak, AK: Aniak Airport",61.58166667,-159.5430556,AK
ANM,10306,"Antalaha, Madagascar: Antsirabato",-15,50.32138889,Ma
ANN,10307,"Annette, AK: Annette Island",55.03694444,-131.5705556,AK
ANO,10308,"Angoche, Mozambique: Angoche Airport",-16.17777778,39.93694444,Mo
ANP,10309,"Annapolis, MD: Lee",38.94277778,-76.56888889,MD
ANV,10313,"Anvik, AK: Anvik Airport",62.64777778,-160.1888889,AK
AOH,10317,"Lima, OH: Lima Allen County",40.70833333,-84.02666667,OH
AOL,10321,"Paso de Los Libres, Argentina: Paso de Los Libres Airport",-29.69,-57.14861111,Ar
AOO,10322,"Altoona, PA: Altoona-Blair County",40.29722222,-78.32,PA
AOR,10323,"Alor Setar, Malaysia: Sultan Abdul Halim",6.19111111,100.4038889,Ma
AOS,10324,"Amook Bay, AK: Amook Bay Airport",57.45472222,-153.8130556,AK
APA,10325,"Denver, CO: Centennial",39.57277778,-104.8477778,CO
APC,10327,"Napa, CA: Napa County",38.21222222,-122.28,CA
APF,10329,"Naples, FL: Naples Municipal",26.15277778,-81.77527778,FL
APG,10330,"Aberdeen, MD: Phillips AAF",39.46611111,-76.16972222,MD
APL,10332,"Nampula, Mozambique: Nampula Airport",-15.10166667,39.28722222,Mo
APN,10333,"Alpena, MI: Alpena County Regional",45.08166667,-83.55583333,MI
APO,10334,"Apartado, Colombia: Apartado Airport",7.03333333,-77.2,Co
APR,10335,"April River, Papua New Guinea: April River Airport",-4.67361111,142.5377778,Pa
APT,10336,"Jasper, TN: Marion County Brown Field",35.06055556,-85.58527778,TN
APV,10337,"Apple Valley, CA: Apple Valley Airport",34.52638889,-117.2127778,CA
AQY,10344,"Girdwood, AK: Girdwood Airport",60.96666667,-149.1236111,AK
AR1,10345,"Russellville, AR: Russellville Regional",35.26472222,-93.09388889,AR
AR2,10346,"Conway, AR: Dennis F Cantrell Field",35.08083333,-92.425,AR
ARA,10347,"New Iberia, LA: Acadiana Regional",30.03777778,-91.88388889,LA
ARB,10348,"Ann Arbor, MI: Ann Arbor Municipal",42.22277778,-83.74444444,MI
ARC,10349,"Arctic Village, AK: Arctic Village Airport",68.1375,-145.5244444,AK
ARD,10350,"Alor, Indonesia: Arcadia Municipal",-8.25,124.75,In
ARG,10352,"Walnut Ridge, AR: Walnut Ridge Regional",36.125,-90.92638889,AR
ARP,10358,"Aragip, Papua New Guinea: Aragip Airport",-9.87055556,149.4836111,Pa
ARQ,10359,"Arauquita, Colombia: Arauquita Airport",7.02111111,-71.38888889,Co
ART,10361,"Watertown, NY: Watertown International",43.99083333,-76.02138889,NY
ARV,10363,"Minocqua/Woodruff, WI: Lakeland/Noble F. Lee Memorial Field",45.92805556,-89.73083333,WI
ARX,10365,"Asbury Park, NJ: Asbury Park/Monmouth County",40.18333333,-74.11666667,NJ
ASE,10372,"Aspen, CO: Aspen Pitkin County Sardy Field",39.22416667,-106.8688889,CO
ASG,10373,"Ashburton, New Zealand: Ashburton Airport",-43.905,171.7966667,Ne
ASH,10374,"Nashua, NH: Boire Field",42.77888889,-71.50944444,NH
